Dead (1),3272,2435,556,504
Dead (3),3829,0,556,504
Dead (2),2715,1990,556,504
Dead (5),3829,1455,556,504
Dead (6),2715,0,556,504
Dead (7),3829,3385,556,504
Dead (8),3272,0,556,504
Dead (9),2715,1485,556,504
Dead (10),2715,980,556,504
Fall (1),3829,2910,542,474
Hurt (1),1086,475,542,474
Hurt (5),2172,950,542,474
Hurt (6),1086,0,542,474
Hurt (7),1629,1900,542,474
Hurt (8),1629,3325,542,474
Idle (1),0,950,542,474
Idle (2),0,3800,542,474
Idle (3),1629,2375,542,474
Idle (4),0,1425,542,474
Idle (6),543,2850,542,474
Idle (7),2172,2850,542,474
Idle (8),3829,2435,542,474
Idle (9),0,2375,542,474
Idle (10),1086,4275,542,474
Jump (1),1629,950,542,474
Jump (3),543,3325,542,474
Jump (5),543,0,542,474
Jump (4),543,4275,542,474
Jump (6),2172,3800,542,474
Idle (5),1629,4275,542,474
Jump (8),1086,1900,542,474
Run (1),3258,3325,542,474
Run (3),2172,3325,542,474
Run (2),2172,475,542,474
Run (4),3829,505,542,474
Run (5),2715,2850,542,474
Run (6),1086,3325,542,474
Run (7),1086,2375,542,474
Run (8),2172,1425,542,474
Slide (1),0,475,542,474
Slide (3),543,1900,542,474
Jump (7),1086,2850,542,474
Slide (4),543,950,542,474
Slide (2),2172,0,542,474
Slide (5),543,1425,542,474
Slide (7),2172,1900,542,474
Slide (8),2715,3800,542,474
Slide (10),2172,2375,542,474
Walk (1),3272,1960,542,474
Walk (3),3258,3800,542,474
Dead (4),3272,980,556,504
Walk (6),2715,3325,542,474
Walk (5),543,3800,542,474
Walk (9),1629,1425,542,474
Walk (8),1086,1425,542,474
Walk (7),1629,2850,542,474
Walk (10),0,4275,542,474
Fall (3),3829,980,542,474
Fall (4),2715,505,542,474
Fall (6),3829,1960,542,474
Fall (5),1086,3800,542,474
Fall (7),0,3325,542,474
Fall (8),1629,3800,542,474
Hurt (3),543,2375,542,474
Hurt (2),3272,1485,542,474
Walk (2),1629,475,542,474
Hurt (9),0,2850,542,474
Hurt (10),2172,4275,542,474
Hurt (4),0,0,542,474
Jump (2),1629,0,542,474
Fall (2),1086,950,542,474
Walk (4),0,1900,542,474
Slide (6),3272,505,542,474
Slide (9),543,475,542,474
